forward,0.001,0.00115698,0.001627919,0.002412817,0.003511674,0.004924491,0.006651267,0.008692002,0.011046696,0.01371535,0.016697963,0.019994536,0.023605067,0.027529558,0.031768008,0.036320417,0.041186786,0.046367114,0.051861401,0.057669647,0.063791853,0.070228018,0.076978142,0.084042226,0.091420268,0.09911227,0.107118232,0.115438152,0.124072032,0.133019871,0.142281669,0.151857427,0.161747144,0.17195082,0.182468455,0.19330005,0.204445604,0.215905117,0.22767859,0.239766021,0.252167412,0.264882763,0.277912072,0.291255341,0.304912569,0.318883756,0.333168903,0.347768009,0.362681074,0.377908098,0.393449082,0.409304025,0.425472927,0.441955788,0.458752609,0.475863389,0.493288128,0.511026827,0.529079484,0.547446101,0.566126678,0.585121213,0.604429708,0.624052162,0.643988576,0.664238948,0.68480328,0.705681571,0.726873822,0.748380031,0.7702002,0.792334328,0.814782416,0.837544463,0.860620469,0.884010434,0.907714358,0.931732242,0.956064085,0.980709888,1.005669649,1.03094337,1.05653105,1.08243269,1.108648288,1.135177846,1.162021363,1.18917884,1.216650275,1.24443567,1.272535025,1.300948338,1.329675611,1.358716843,1.388072034,1.417741185,1.447724295,1.478021364,1.508632392,1.53955738
10,0.017933962,0.004483592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000823438,0.001464059,0.002836439,0.003797346,0.005123971,0.006450617,0.007823265,0.011757641,0.018529257,0.029783907,0.058513733,0.086651711,0.11121896,0.13802848,0.159576054,0.173896874,0.19773039,0.196863635,0.212096432,0.216719076,0.225136527,0.228613762,0.22962119,0.231221367,0.237032871,0.234378208,0.228066249,0.224220478,0.220011501,0.217588708,0.215163011,0.205783925,0.20647074,0.196130353,0.195765554,0.186843035,0.187712613,0.183365636,0.176091947,0.169414115,0.16721794,0.15889056,0.159714784,0.147408063,0.152028472,0.144845367,0.143517973,0.138119596,0.132995343,0.132310546,0.13404681,0.130022345,0.125904154,0.124577283,0.12238129,0.118676012,0.116846804,0.117945064,0.11387182,0.113873835,0.110074529,0.108794914,0.109892225,0.112362262,0.114054775,0.114650613,0.10957224,0.107009438,0.10696424,0.110028384,0.107789331,0.112225122,0.109937281,0.11089798,0.108152558,0.11053308,0.105957117
100,0.017933962,0.004483592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000823438,0.001464059,0.002836439,0.003797346,0.005123971,0.006450617,0.007823265,0.011757641,0.018529257,0.029783907,0.058513733,0.086651711,0.11121896,0.13802848,0.159576054,0.173896874,0.19773039,0.196863635,0.212096432,0.216719076,0.225136527,0.228613762,0.22962119,0.231221367,0.237032871,0.234378208,0.228066249,0.224220478,0.220011501,0.217588708,0.215163011,0.205783925,0.20647074,0.196130353,0.195765554,0.186843035,0.187712613,0.183365636,0.176091947,0.169414115,0.16721794,0.15889056,0.159714784,0.147408063,0.152028472,0.144845367,0.143517973,0.138119596,0.132995343,0.132310546,0.13404681,0.130022345,0.125904154,0.124577283,0.12238129,0.118676012,0.116846804,0.117945064,0.11387182,0.113873835,0.110074529,0.108794914,0.109892225,0.112362262,0.114054775,0.114650613,0.10957224,0.107009438,0.10696424,0.110028384,0.107789331,0.112225122,0.109937281,0.11089798,0.108152558,0.11053308,0.105957117
diffuse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.089167378,0.091454159,0.088251524,0.085278472,0.086421367,0.086880045,0.089670645,0.079102223,0.079926331,0.080884976,0.076448896,0.081481595,0.080292177,0.076128603,0.072606536,0.075809205,0.073520562,0.072468605,0.073657951,0.067664123,0.067024114,0.068487149,0.067756085,0.063958256,0.059520076,0.0593387,0.058835166,0.058376459,0.058743308,0.05810289,0.055952842,0.056364412,0.053801932,0.052338468,0.049091233,0.048403833,0.042090508,0.041770317,0.038842222,0.035960129,0.032939829,0.031292988,0.027770576,0.02484227,0.021868728,0.023561308,0.022737568,0.018894871,0.016790188,0.01569235,0.014320018,0.012901487,0.013038898,0.01097997,0.011528712,0.008784141,0.008143696,0.008646886,0.006999588,0.007640443,0.005993404,0.004712094,0.0061308,0.006862608,0.005215541,0.004803639,0.004163201,0.004163105,0.003568495,0.003248188,0.003843051,0.004437888,0.002607617,0.002744858,0.003842861,0.002424688,0.002928035,0.002699353,0.002699137,0.002424778,0.00292804,0.002104437,0.002744979,0.002104435,0.002973693,0.002241655,0.002333341,0.002196281,0.002196154,0.001738593,0.00260758,0.001967422,0.001875605,0.00205868,0.002150194,0.001189507,0.001372537,0.001601313,0.001463859,0.000777716
,0.089167378,0.091454159,0.088251524,0.085278472,0.086421367,0.086880045,0.089670645,0.079102223,0.079926331,0.080884976,0.076448896,0.081481595,0.080292177,0.076128603,0.072606536,0.075809205,0.073520562,0.072468605,0.073657951,0.067664123,0.067024114,0.068487149,0.067756085,0.063958256,0.059520076,0.0593387,0.058835166,0.058376459,0.058743308,0.05810289,0.055952842,0.056364412,0.053801932,0.052338468,0.049091233,0.048403833,0.042090508,0.041770317,0.038842222,0.035960129,0.032939829,0.031292988,0.027770576,0.02484227,0.021868728,0.023561308,0.022737568,0.018894871,0.016790188,0.01569235,0.014320018,0.012901487,0.013038898,0.01097997,0.011528712,0.008784141,0.008143696,0.008646886,0.006999588,0.007640443,0.005993404,0.004712094,0.0061308,0.006862608,0.005215541,0.004803639,0.004163201,0.004163105,0.003568495,0.003248188,0.003843051,0.004437888,0.002607617,0.002744858,0.003842861,0.002424688,0.002928035,0.002699353,0.002699137,0.002424778,0.00292804,0.002104437,0.002744979,0.002104435,0.002973693,0.002241655,0.002333341,0.002196281,0.002196154,0.001738593,0.00260758,0.001967422,0.001875605,0.00205868,0.002150194,0.001189507,0.001372537,0.001601313,0.001463859,0.000777716
transparent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
