forward,0.000996327,0.004746327,0.015986327,0.034726327,0.060956327,0.094686327,0.135906327,0.184626327,0.240836327,0.304546327,0.375746327,0.454446327,0.540636327,0.634327327,0.735510327,0.844187327,0.960360327,1.084027327,1.215190327,1.353847327
0.01,0.002858373,0.003569014,0.001172631,0.000917196,0.00093433,0.040944076,0.122200642,0.213369885,0.323964889,0.442747128,0.562684181,0.646756191,0.685824201,0.707524388,0.727186934,0.748618246,0.770908131,0.792238458,0.806376512,0.788879955
0.1,0.004703318,0.001516406,0.000884798,0.000854048,0.000899676,0.041382966,0.108960106,0.191431418,0.324460302,0.433314529,0.470552958,0.482078731,0.487113198,0.494342007,0.505170301,0.525726121,0.558407529,0.606451296,0.660893573,0.692435634
1,0.001436331,0.000622412,0.000452118,0.000470203,0.000498295,0.029552356,0.134486368,0.257413459,0.35315291,0.387532793,0.39134259,0.383909137,0.371624168,0.356594697,0.341038239,0.325377997,0.310608748,0.3012362,0.312972594,0.362252304
5,0.000177593,0.000163825,0.000127675,0.000139062,0.000141621,0.044717312,0.170964053,0.255247891,0.304961549,0.308665372,0.292688198,0.270160467,0.243113933,0.216462313,0.191572792,0.168054749,0.148471238,0.131353349,0.11600093,0.112913788
10,3.8515E-05,5.1693E-05,3.21548E-05,3.34146E-05,3.43095E-05,0.051563781,0.167527966,0.231223899,0.262177377,0.253433242,0.226804668,0.196514109,0.165429412,0.136132153,0.109899581,0.087848426,0.070514801,0.056841287,0.04565747,0.037872007
100,1.61055E-08,7.06353E-08,3.71746E-08,3.32748E-08,2.90765E-08,0.076165022,0.129590663,0.146782932,0.134977942,0.099945908,0.060440764,0.029716462,0.012956686,0.005082317,0.001755578,0.000665509,0.000272418,0.000129635,6.33579E-05,3.25186E-05
1000,2.15067E-15,4.98971E-15,1.45394E-14,5.66486E-15,4.21209E-14,0.005930123,0.002361207,0.000682686,0.000149271,3.3644E-05,7.37669E-06,1.16804E-06,1.10593E-07,8.64839E-09,4.91713E-10,4.16598E-11,1.14123E-12,1.06214E-14,1.46996E-14,1.43292E-13
10000,0,0,0,0,0,1.82707E-07,2.82579E-08,2.64243E-09,8.35751E-11,6.80479E-13,0,0,0,0,0,0,0,0,0,0
diffuse,,,,,,,,,,,,,,,,,,,,
0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
back,,,,,,,,,,,,,,,,,,,,
0.01,0.995872244,0.996552155,0.998748206,0.998858746,0.999468766,0.958916009,0.877684387,0.787203234,0.676260469,0.557191937,0.436964567,0.353300074,0.314268704,0.292810537,0.27273297,0.251531017,0.229089046,0.207276711,0.193686108,0.211262096
0.1,0.995270606,0.998526361,0.999486542,0.999360838,0.99872363,0.957914307,0.890781244,0.809122127,0.675680872,0.565967846,0.529489122,0.51830178,0.512432606,0.506188799,0.494634538,0.474417813,0.441072574,0.394113913,0.339565005,0.307321681
1,0.722159959,0.723482186,0.723134909,0.721275748,0.720129376,0.695124682,0.610445446,0.514589236,0.438436279,0.404700528,0.389788149,0.383744859,0.381406844,0.381907293,0.383763687,0.386566779,0.39169675,0.395460859,0.384806203,0.342499593
5,0.355535425,0.354915132,0.353680155,0.351931998,0.34913847,0.325907031,0.269958862,0.233281581,0.206520953,0.193780737,0.183872811,0.177187981,0.172699346,0.171195969,0.170763623,0.171183656,0.173350856,0.17877468,0.189438596,0.197776606
10,0.151728965,0.151383485,0.15043037,0.148771866,0.146673156,0.1336579,0.109122855,0.094906047,0.085272997,0.079938412,0.075080596,0.071130216,0.069160658,0.068909751,0.06886958,0.068859712,0.069667378,0.072798074,0.078199657,0.085033097
100,0.001502981,0.001496599,0.001473873,0.001442442,0.001397604,0.001147651,0.000984141,0.000880044,0.000818182,0.000771798,0.000680979,0.000575742,0.000495725,0.000423247,0.000340836,0.000262862,0.00020992,0.000198664,0.000253508,0.000393935
1000,5.98732E-07,5.96789E-07,5.87061E-07,5.72732E-07,5.52428E-07,4.00387E-07,3.69859E-07,3.66102E-07,3.69379E-07,3.33966E-07,2.24849E-07,1.29948E-07,8.14754E-08,5.58132E-08,4.12326E-08,3.22093E-08,2.64795E-08,2.24218E-08,1.95462E-08,1.7768E-08
10000,6.47464E-11,6.44198E-11,6.33889E-11,6.18609E-11,5.9738E-11,4.91738E-11,5.17011E-11,5.11548E-11,4.79424E-11,4.00257E-11,2.52085E-11,1.40477E-11,8.66544E-12,5.93722E-12,4.39971E-12,3.44594E-12,2.81997E-12,2.37088E-12,2.05663E-12,1.87252E-12
transparent,,,,,,,,,,,,,,,,,,,,
0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
